pick_team,pick_side,gap,confidence,covered,home,away,week,vegas_spread,home_pred,away_pred,home_actual,away_actual
GB,away,10.5,45.5,True,CHI,GB,1,1.0,20.7,30.2,20,38
IND,home,5.6,17.8,False,IND,JAX,1,-4.0,22.5,20.9,21,31
ARI,home,15.8,61.4,True,ARI,NYG,2,-5.0,25.2,14.4,28,31
GB,away,6.7,28.4,True,ATL,GB,2,3.0,25.3,29.0,25,24
NE,home,5.5,26.5,False,NE,MIA,2,-2.0,23.6,20.1,17,24
PIT,home,3.9,17.8,True,PIT,CLE,2,-2.5,24.4,23.0,26,22
LAC,away,3.4,17.5,True,MIN,LAC,3,1.0,26.0,28.4,24,28
PIT,away,4.5,16.9,True,LV,PIT,3,3.0,25.3,26.8,18,23
GB,home,1.7,7.0,True,GB,NO,3,-1.5,22.2,22.0,18,17
GB,home,8.0,34.9,False,GB,DET,4,-2.5,28.8,23.3,20,34
IND,home,6.3,31.5,False,IND,LA,4,-1.0,22.2,16.9,23,29
IND,home,8.2,36.9,True,IND,TEN,5,-2.5,23.7,18.0,23,16
GB,away,4.5,31.6,False,LV,GB,5,1.0,25.2,28.7,17,13
PIT,home,7.1,26.1,True,PIT,BAL,5,-4.5,24.2,21.6,17,10
WAS,away,8.7,48.0,True,ATL,WAS,6,1.5,20.1,27.3,16,24
TB,home,6.7,40.4,False,TB,DET,6,-3.0,28.6,24.9,6,20
NE,away,7.5,35.5,False,LV,NE,6,3.0,20.7,25.2,21,17
ARI,away,8.5,33.6,False,LA,ARI,6,7.0,20.4,21.9,26,9
LAC,home,1.8,24.6,False,LAC,DAL,6,-1.5,24.4,24.1,17,20
PIT,away,10.0,50.3,True,LA,PIT,7,3.5,19.8,26.3,17,24
IND,home,8.9,34.3,True,IND,CLE,7,-3.5,22.5,17.1,38,39
NE,home,8.0,27.8,True,NE,BUF,7,-7.5,21.3,20.8,29,25
DET,away,3.6,13.8,False,BAL,DET,7,3.0,21.8,22.4,38,6
TEN,home,7.7,44.6,True,TEN,ATL,8,-2.5,30.2,25.0,28,23
ARI,home,13.3,40.7,True,ARI,BAL,8,-9.5,21.2,17.4,24,31
CAR,home,9.5,40.3,True,CAR,HOU,8,-3.0,23.1,16.6,15,13
NE,away,7.5,30.4,False,MIA,NE,8,7.5,18.8,18.8,31,17
DEN,home,9.1,28.9,True,DEN,KC,8,-7.0,20.7,18.6,24,9
BUF,away,6.6,33.9,False,CIN,BUF,9,1.5,21.9,27.0,24,18
TB,away,6.8,32.1,True,HOU,TB,9,2.5,16.9,21.2,39,37
MIN,away,5.0,15.3,True,ATL,MIN,9,3.5,27.3,28.8,28,31
LAC,home,7.8,30.9,False,LAC,DET,10,-2.5,30.1,24.8,38,41
NE,home,6.9,28.7,False,NE,IND,10,-1.0,19.7,13.8,6,10
LV,home,4.6,20.9,True,LV,NYJ,10,-1.0,24.0,20.4,16,12
WAS,away,7.1,20.2,True,SEA,WAS,10,6.0,21.7,22.8,29,26
CLE,away,7.0,19.9,True,BAL,CLE,10,6.0,19.5,20.5,31,33
CIN,away,7.9,31.9,False,BAL,CIN,11,4.0,16.6,20.5,34,20
LAC,home,10.6,48.3,False,LAC,BAL,12,-3.0,25.8,18.2,10,20
CIN,home,8.1,44.6,False,CIN,PIT,12,-2.0,28.3,22.2,10,16
NYJ,home,10.0,43.7,False,NYJ,ATL,13,-2.0,27.9,19.9,8,13
CIN,away,11.3,36.8,True,JAX,CIN,13,10.0,23.7,25.0,31,34
DEN,away,8.9,34.3,False,HOU,DEN,13,3.5,13.8,19.2,22,17
WAS,home,11.6,33.9,False,WAS,MIA,13,-8.5,23.4,20.3,15,45
NO,home,8.4,33.4,False,NO,DET,13,-4.0,26.3,21.9,28,33
NYJ,home,12.6,54.4,True,NYJ,HOU,14,-3.5,20.3,11.2,30,6
NYG,home,7.2,37.6,True,NYG,GB,14,-6.0,28.0,26.8,24,22
BUF,away,4.0,31.3,True,KC,BUF,14,2.0,24.0,26.0,17,20
LV,home,5.9,29.7,False,LV,MIN,14,-3.0,31.7,28.8,0,3
NE,away,7.7,28.9,True,PIT,NE,14,6.0,17.7,19.4,18,21
WAS,away,15.3,71.2,False,LA,WAS,15,6.5,15.0,23.8,28,20
NE,home,14.0,53.2,False,NE,KC,15,-10.0,23.8,19.8,17,27
JAX,home,10.5,45.6,False,JAX,BAL,15,-4.0,23.3,16.8,7,23
LAC,away,5.9,30.2,False,LV,LAC,15,3.0,23.8,26.7,63,21
CAR,home,4.9,24.7,True,CAR,ATL,15,-3.0,25.9,24.0,9,7
NO,away,8.4,32.1,False,LA,NO,16,4.0,16.2,20.6,30,22
DAL,away,6.9,30.9,False,MIA,DAL,16,1.5,18.7,24.1,22,20
IND,away,7.0,27.4,False,ATL,IND,16,3.0,22.0,26.0,29,10
WAS,away,6.6,25.4,True,NYJ,WAS,16,3.0,13.2,16.8,30,28
ARI,away,5.0,19.4,False,CHI,ARI,16,4.5,22.5,23.0,27,16
WAS,home,14.1,51.4,False,WAS,SF,17,-14.0,18.7,18.6,10,27
NO,away,8.8,47.0,True,TB,NO,17,2.5,14.9,21.2,13,23
TEN,away,9.1,35.9,False,HOU,TEN,17,5.0,16.2,20.3,26,3
NYG,home,7.4,28.7,True,NYG,LA,17,-6.0,24.5,23.1,25,26
MIA,away,6.0,27.1,False,BAL,MIA,17,3.0,20.0,23.0,56,19
IND,home,11.9,53.9,False,IND,HOU,18,-1.5,22.9,12.5,19,23
BAL,home,6.6,28.7,False,BAL,PIT,18,-3.0,24.2,20.6,10,17
CAR,home,7.6,27.2,False,CAR,TB,18,-5.0,20.4,17.8,0,9
DEN,away,4.3,20.2,False,LV,DEN,18,3.5,23.9,24.7,27,14
GB,away,6.9,28.6,False,PHI,GB,1,2.0,21.8,26.7,34,29
LV,away,6.2,24.8,False,LAC,LV,1,3.0,17.3,20.5,22,10
BAL,away,4.1,13.6,False,KC,BAL,1,3.0,17.4,18.5,27,20
DAL,away,3.7,13.5,True,CLE,DAL,1,2.5,13.0,14.2,17,33
ATL,away,11.1,40.3,True,PHI,ATL,2,5.5,18.9,24.5,21,22
DEN,home,8.8,38.2,False,DEN,PIT,2,-3.0,24.4,18.6,6,13
TB,away,8.0,33.1,True,DET,TB,2,7.5,25.3,25.8,16,20
GB,home,7.4,32.5,True,GB,IND,2,-3.0,22.9,18.5,16,10
BUF,away,7.2,32.0,True,MIA,BUF,2,2.5,15.4,20.1,10,31
MIA,away,5.6,22.9,False,SEA,MIA,3,4.0,25.1,26.7,24,3
GB,away,6.3,22.5,True,TEN,GB,3,3.0,20.6,23.9,14,30
ATL,home,4.0,12.9,False,ATL,KC,3,-3.0,19.3,18.3,17,22
CHI,away,2.0,7.7,False,IND,CHI,3,1.5,18.1,18.6,21,16
TB,home,10.2,47.5,True,TB,PHI,4,-1.0,27.9,18.7,33,16
IND,home,5.5,24.5,True,IND,PIT,4,-2.5,20.2,17.2,27,24
LV,home,4.5,21.9,True,LV,CLE,4,-2.5,16.1,14.1,20,16
CLE,away,12.6,52.7,False,WAS,CLE,5,3.0,13.6,23.2,34,13
IND,away,4.8,18.7,True,JAX,IND,5,3.5,18.6,19.9,37,34
BUF,away,3.1,17.4,False,HOU,BUF,5,1.0,20.6,22.7,23,20
NYJ,away,3.0,14.5,False,MIN,NYJ,5,2.5,16.5,17.0,23,17
CLE,away,11.9,39.2,True,PHI,CLE,6,8.0,17.7,21.6,20,16
LV,home,8.1,37.1,False,LV,PIT,6,-3.5,20.3,15.7,13,32
DEN,home,6.5,29.7,False,DEN,LAC,6,-3.0,25.6,22.1,16,23
CHI,home,4.6,25.6,True,CHI,JAX,6,-1.5,21.7,18.6,35,16
NO,home,5.2,24.5,False,NO,TB,6,-3.5,22.3,20.6,27,51
NO,home,9.4,41.1,False,NO,DEN,7,-2.5,23.4,16.5,10,33
MIA,away,7.2,37.8,False,IND,MIA,7,3.0,18.4,22.6,16,10
CLE,home,10.7,37.4,False,CLE,CIN,7,-5.5,21.0,15.8,14,21
NYG,home,9.1,36.4,False,NYG,PHI,7,-3.0,24.2,18.1,3,28
HOU,away,3.6,14.0,True,GB,HOU,7,3.0,22.8,23.4,24,22
CHI,away,9.3,52.5,False,WAS,CHI,8,1.5,19.6,27.4,18,15
NO,away,9.1,39.4,False,LAC,NO,8,7.0,19.5,21.6,26,8
LV,home,11.0,36.7,True,LV,KC,8,-9.0,18.2,16.2,20,27
JAX,home,3.9,17.1,True,JAX,GB,8,-3.5,20.9,20.5,27,30
TB,home,2.1,12.2,False,TB,ATL,8,-1.5,22.1,21.5,26,31
JAX,away,13.0,40.3,True,PHI,JAX,9,7.5,17.2,22.7,28,23
NYG,home,9.0,31.1,False,NYG,WAS,9,-4.5,25.3,20.8,22,27
CHI,away,6.6,28.1,False,ARI,CHI,9,1.5,21.4,26.5,29,9
CLE,home,6.2,25.9,False,CLE,LAC,9,-2.0,16.9,12.7,10,27
SEA,home,5.5,24.0,False,SEA,LA,9,-1.5,28.1,24.1,20,26
DAL,home,22.3,58.0,False,DAL,PHI,10,-7.5,28.3,13.5,6,34
HOU,home,8.9,33.8,True,HOU,DET,10,-4.5,26.6,22.2,23,26
PIT,away,5.7,31.5,True,WAS,PIT,10,1.5,18.4,22.6,27,28
LV,away,11.8,48.7,False,MIA,LV,11,8.0,12.6,16.4,34,19
DAL,home,11.6,40.2,False,DAL,HOU,11,-7.5,22.0,17.9,10,34
NO,home,5.3,31.8,True,NO,CLE,11,-1.0,13.6,9.3,35,14
NE,home,6.4,26.3,False,NE,LA,11,-4.0,20.9,18.5,22,28
WAS,away,5.4,23.6,False,PHI,WAS,11,4.5,21.1,22.0,26,18
DAL,away,19.8,56.7,True,WAS,DAL,12,10.5,18.0,27.3,26,34
LV,home,13.1,50.8,False,LV,DEN,12,-6.5,24.6,18.0,19,29
LA,home,10.4,47.4,False,LA,PHI,12,-3.0,25.5,18.1,20,37
SEA,home,7.7,39.5,True,SEA,ARI,12,-1.0,30.8,24.1,16,6
SF,away,7.9,29.2,False,GB,SF,12,6.5,21.6,23.0,38,10
ATL,home,11.8,62.4,False,ATL,LAC,13,-1.0,28.5,17.7,13,17
NO,home,10.3,55.5,False,NO,LA,13,-2.5,24.1,16.3,14,21
JAX,home,4.1,25.6,True,JAX,HOU,13,-3.5,21.3,20.7,20,23
TEN,away,7.7,24.3,False,WAS,TEN,13,6.0,22.9,24.6,42,19
NE,home,2.8,11.3,True,NE,IND,13,-2.5,17.5,17.2,24,25
DAL,home,13.5,60.6,False,DAL,CIN,14,-5.0,27.3,18.8,20,27
CAR,away,16.1,52.3,True,PHI,CAR,14,14.0,17.5,19.6,22,16
SEA,away,7.4,32.8,True,ARI,SEA,14,3.0,24.0,28.4,18,30
JAX,away,3.3,18.7,True,TEN,JAX,14,3.0,19.7,20.0,6,10
NO,home,15.6,60.9,True,NO,WAS,15,-7.5,25.9,17.8,19,20
DAL,away,11.6,53.6,True,CAR,DAL,15,2.5,15.2,24.3,14,30
NE,away,8.9,43.6,False,ARI,NE,15,6.0,20.4,23.3,30,17
LV,home,10.0,39.2,True,LV,ATL,15,-6.5,20.8,17.3,9,15
PIT,away,9.7,38.0,False,PHI,PIT,15,5.5,16.2,20.4,27,13
DAL,home,10.5,39.1,True,DAL,TB,16,-4.5,24.3,18.3,26,24
CLE,away,11.4,37.0,False,CIN,CLE,16,10.0,17.8,19.2,24,6
WAS,home,7.9,28.8,True,WAS,PHI,16,-4.0,24.6,20.7,36,33
CAR,home,8.5,28.1,True,CAR,ARI,16,-5.5,24.6,21.6,36,30
CHI,home,7.3,26.5,False,CHI,DET,16,-7.0,21.3,21.0,17,34
DAL,away,14.0,51.0,False,PHI,DAL,17,7.5,20.3,26.8,41,7
ATL,away,10.8,46.4,False,WAS,ATL,17,3.5,18.4,25.7,30,24
NO,home,9.0,46.3,False,NO,LV,17,-2.0,19.7,12.7,10,25
NE,home,9.0,33.2,False,NE,LAC,17,-6.0,21.7,18.7,7,40
MIN,home,5.0,31.7,True,MIN,GB,17,-1.0,26.6,22.6,27,25
DAL,home,21.7,64.7,True,DAL,WAS,18,-7.0,29.7,15.0,19,23
KC,away,11.8,45.8,False,DEN,KC,18,10.5,20.4,21.7,38,0
LV,home,11.1,39.4,False,LV,LAC,18,-7.0,20.1,16.0,20,34
SF,away,9.0,34.5,False,ARI,SF,18,4.5,20.6,25.1,47,24
HOU,away,5.9,34.0,True,TEN,HOU,18,2.5,20.8,24.2,14,23
LAC,home,10.1,41.8,True,LAC,KC,1,-3.0,27.1,20.0,27,21
NO,home,7.9,25.0,False,NO,ARI,1,-6.0,28.4,26.5,13,20
SEA,home,5.8,23.6,False,SEA,SF,1,-2.5,26.8,23.5,13,17
MIA,away,4.7,20.7,False,IND,MIA,1,1.5,22.4,25.6,33,8
HOU,away,4.2,16.7,False,LA,HOU,1,3.5,19.6,20.3,14,9
HOU,away,6.9,29.2,False,JAX,HOU,3,1.5,19.5,24.9,17,10
TEN,home,6.6,21.3,False,TEN,IND,3,-6.0,22.6,22.0,20,41
CHI,home,4.0,17.4,True,CHI,DAL,3,-1.5,24.1,21.6,31,14
WAS,away,6.7,28.5,False,ATL,WAS,4,2.5,27.3,31.5,34,27
CHI,away,2.7,15.3,True,LV,CHI,4,1.5,20.5,21.7,24,25
ARI,home,2.4,12.9,False,ARI,SEA,4,-1.5,23.2,22.3,20,23
BAL,home,10.4,45.8,False,BAL,HOU,5,-2.5,23.7,15.8,10,44
BAL,home,14.3,52.5,False,BAL,LA,6,-7.0,28.2,20.9,3,17
CHI,away,10.4,49.0,True,WAS,CHI,6,5.5,18.5,23.4,24,25
ARI,away,10.2,36.4,True,IND,ARI,6,8.5,24.8,26.5,31,27
DET,away,6.3,29.4,False,KC,DET,6,2.5,24.7,28.5,30,17
MIA,away,9.5,38.6,False,CLE,MIA,7,2.5,15.3,22.3,31,6
TEN,home,8.6,25.3,False,TEN,NE,7,-6.5,24.4,22.3,13,31
HOU,away,3.0,23.7,False,SEA,HOU,7,3.0,17.9,17.9,27,19
CIN,home,5.9,21.0,True,CIN,PIT,7,-5.5,24.4,24.0,33,31
MIA,away,11.1,36.0,True,ATL,MIA,8,7.0,25.7,29.8,10,34
BUF,home,11.7,47.7,True,BUF,KC,9,-2.5,34.6,25.4,28,21
PIT,home,10.0,37.9,True,PIT,IND,9,-3.5,26.9,20.4,27,20
ARI,away,6.2,30.8,True,DAL,ARI,9,3.5,25.3,28.0,17,27
CIN,home,6.9,26.0,False,CIN,CHI,9,-3.0,27.4,23.5,42,47
DEN,away,5.7,24.0,True,HOU,DEN,9,1.5,14.1,18.3,15,18
HOU,home,12.0,48.5,True,HOU,JAX,10,-1.5,27.7,17.2,36,29
NYJ,home,8.7,34.7,True,NYJ,CLE,10,-1.5,25.9,18.7,27,20
MIA,home,8.8,33.0,True,MIA,BUF,10,-8.5,28.1,27.8,30,13
PHI,away,5.5,31.1,True,GB,PHI,10,1.5,18.5,22.5,7,10
NO,away,10.2,30.5,True,CAR,NO,10,5.5,18.0,22.7,7,17
DEN,home,15.0,62.0,True,DEN,KC,11,-3.5,30.3,18.8,22,19
NYJ,away,14.1,48.0,False,NE,NYJ,11,12.5,24.1,25.7,27,14
LV,home,5.8,26.6,False,LV,DAL,11,-3.5,25.9,23.6,16,33
ARI,home,3.8,19.1,False,ARI,SF,11,-3.5,27.9,27.6,22,41
CIN,home,13.4,47.0,True,CIN,NE,12,-7.5,31.2,25.3,20,26
ARI,home,9.5,43.6,False,ARI,JAX,12,-2.5,32.4,25.4,24,27
HOU,home,8.3,30.1,True,HOU,BUF,12,-5.5,22.0,19.2,23,19
PIT,away,3.0,17.0,False,CHI,PIT,12,3.0,22.6,22.6,31,28
MIN,away,13.7,44.1,False,SEA,MIN,13,12.5,21.0,22.2,26,0
NYJ,home,7.4,29.7,True,NYJ,ATL,13,-3.0,29.5,25.1,27,24
TEN,home,8.3,25.8,False,TEN,JAX,13,-6.0,26.7,24.4,3,25
HOU,away,4.9,23.7,True,IND,HOU,13,3.0,16.9,18.8,16,20
MIN,home,13.9,65.2,True,MIN,WAS,14,-1.5,26.9,14.5,31,0
TEN,away,4.9,23.3,True,CLE,TEN,14,4.5,19.9,20.3,29,31
NYJ,away,17.3,50.8,False,JAX,NYJ,15,13.5,24.9,28.7,48,20
MIN,away,12.0,47.8,True,DAL,MIN,15,5.5,19.1,25.6,26,34
DEN,home,8.9,45.9,True,DEN,GB,15,-1.5,25.1,17.7,34,26
DET,away,9.4,45.0,False,LA,DET,15,5.5,24.6,28.5,41,34
NO,home,7.5,39.4,True,NO,CAR,15,-2.5,24.1,19.1,20,17
NYJ,away,12.2,42.7,False,NO,NYJ,16,6.5,18.3,24.0,29,6
LAC,away,9.0,39.7,True,DAL,LAC,16,1.5,18.8,26.3,17,34
ARI,home,6.9,29.0,False,ARI,ATL,16,-2.5,31.3,26.9,19,26
GB,away,5.7,25.9,False,CHI,GB,16,1.5,19.0,23.2,22,16
MIA,home,6.3,22.9,False,MIA,CIN,16,-3.5,28.2,25.4,21,45
WAS,home,17.2,58.9,True,WAS,DAL,17,-8.5,29.4,20.7,23,30
NYJ,home,17.6,51.6,False,NYJ,NE,17,-12.5,25.5,20.4,10,42
TEN,home,7.4,38.7,False,TEN,NO,17,-1.5,23.2,17.3,26,34
LV,home,7.5,37.0,False,LV,NYG,17,-3.0,27.7,23.2,10,34
MIN,home,7.3,33.4,True,MIN,DET,17,-7.0,22.1,21.8,23,10
DET,away,11.1,51.3,True,CHI,DET,18,3.5,20.1,27.7,16,19
MIA,away,15.3,50.2,False,NE,MIA,18,14.0,24.1,25.4,38,10
TEN,away,12.7,45.3,False,JAX,TEN,18,12.5,25.9,26.1,41,7
SF,home,5.3,24.0,False,SF,SEA,18,-2.5,26.0,23.2,3,13
NO,away,5.5,21.5,True,ATL,NO,18,4.5,26.0,27.0,19,17
